iter	Passed	Remaining
0	0	84
1	1	85
2	2	81
3	3	75
4	3	74
5	4	73
6	5	73
7	6	72
8	7	71
9	7	71
10	8	70
11	9	69
12	10	68
13	11	67
14	11	67
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	33	35
49	34	34
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
